npl_publn_id	npl_biblio
1113963	WILLIAMS D J ET AL INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS:  A STUDY OF THE EFFECT OF ENVELOPE IMPEDANCE ON INTERMODULATION ASYMMETRY USING A TWO-TONE TIME DOMAIN MEASUREMENT SYSTEM 2002 IEEE MTT-S INTERNATIONAL MICROWAVE SYMPOSIUM DIGEST.(IMS 2002). SEATTLE, WA, JUNE 2 - 7, 2002, IEEE MTT-S INTERNATIONAL MICROWAVE SYMPOSIUM, NEW YORK, NY : IEEE, US, vol. VOL. 3 OF 3, 2 juin 2002 (2002-06-02), pages 1841-1844, XP001113963 ISBN: 0-7803-7239-5
1144047	WILLIAMS C K I ET AL:  COMBINING BELIEF NETWORKS AND NEURAL NETWORKS FOR SCENE SEGMENTATION IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE, IEEE SERVICE CENTER, LOS ALAMITOS, CA, US, vol. 24, no. 4, April 2002 (2002-04), pages 467-483, XP001144047 ISSN: 0162-8828
1171559	WILLIAMS B ET AL:  COMPARISON OF BROADCASTING TECHNIQUES FOR MOBILE AD HOC NETWORKS MOBIHOC 2002. PROCEEDINGS OF THE 3RD. ACM INTERNATIONAL SYMPOSIUM ON MOBILE AD HOC NETWORKING AND COMPUTING. LAUSANNE, SWITZERLAND, JUNE 9 20020609 NEW YORK, NY : ACM, US, 9 June 2002 (2002-06-09), pages 194-205, XP001171559 ISBN: 978-1-58113-501-5
1204435	WILLIAMS A C ET AL: PRODUCT CLASS 4: BENZOPYRANONES AND BENZOPYRANTHIONES, 1 January 2003 (2003-01-01), SCIENCE OF SYNTHESIS. CATEGORY 2 : HETARENES AND RELATED RING SYSTEMS SIX-MEMBERED HETARENES WITH ONE CHALCOGEN; [METHODS OF MOLECULAR TRANSFORMATIONS. (HOUBEN-WEYL)], STUTTGART : GEORG THIEME VERLAG, DE, PAGE(S) 347 - 638, XP001204435, ISBN: 978-3-13-118641-6 third synthetic example; page 526
1247404	WILLIAMS ET AL.:  Genetic infection induces protective in vivo immune responses DNA AND CELL BIOLOGY, vol. 12, no. 8, 1993, page 675-683, XP001247404
1384290	WILLIAMS A E ET AL:  A DUAL-POLARIZED 5-FREQUENCY FEED, 1976 NATIONAL TELECOMMUNICATIONS CONFERENCE NTC 76Â DEG  NOVEMBER 29, 30 AND 1 DECEMBER 1976 DALLAS, TEXAS VOLUME III<PUBATTR/>,, 29 November 1976 (1976-11-29), pages 49.4-1, XP001384290,
2014111	WILLIAMS A E:  AN ODD ORDER ELLIPTIC FUNCTION NARROW-BANDPASS MICROWAVE FILTER PROCEEDINGS OF THE EUROPEAN MICROWAVE CONFERENCE,GB,SEVENOAKS, MICROWAVE EXHIBITIONS, Bd. CONF. 8,  4. - 8. September 1978, Seiten 329-333, XP002014111 ROME (IT)
2050231	WILLIAMS ET AL.: Covalent immobilization of protein monolayers for biosensor applications BIOSENSORS & BIOELECTRONICS, vol. 9, 1994, pages 159-167, XP002050231 cited in the application
2050847	WILLIAMS D A ET AL: FIBRONECTIN AND VLA-4 IN HAEMATOPOIETIC STEM CELL -MICROENVIRONMENT INTERACTIONS NATURE, vol. 352, 1 August 1991, LONDON GB, pages 438-441, XP002050847
2058639	WILLIAMS ET AL.:  Genetic infection induces protective in vivo immune responses DNA AND CELL BIOLOGY, vol. 12, no. 8, 1993, page 675-683 XP002058639
2059511	WILLIAMS D. P. ET AL.,: Diptheria toxin receptor binding domain substitution with interleukin-2: genetic construction and properties of a diphteria toxin-related interleukin-2 fusion protein PROTEIN ENGINEERING, vol. 1, no. 6, - 1987 pages 493-498, XP002059511
2062700	WILLIAMS ET AL.:  Development o PCR-SSOP for the identification of HLA-A 02 subtypes and determination HLA-A 02 frequencies within different ethnic populations TISSUE ANTIGENS, deel 49, 1997, bladzijden 129-133, XP002062700 in de aanvraag genoemd
2081191	WILLIAMS C.A. AND CHASE M.W.:  Methods in immunology and immunochemistry  1967 , ACADEMIC PRESS , NEW YORK XP002081191 see page 367 - page 372
2085260	WILLIAMS D.A. AND MORITZ T.:  Umbilical cord blood stem cells as targets for genetic modification:  new therapeutic approaches to somatic gene therapy. BLOOD CELLS, vol. 20, no. 2/3, February 1994 (1994-02), pages 504-516, XP002085260
2086003	WILLIAMS D W ET AL.:  Identification of Candida species in formalin fixed, paraffin wax embedded oral mucosa by sequencing of ribosomal DNA JOURNAL OF CLINICAL PATHOLOGY: MOLECULAR PATHOLOGY, vol. 49, 1996, pages M23-M28, XP002086003
2097028	WILLIAMS ET AL.:  Biodegradable plastics from plants CHEMTECH,September 1996, pages 38-44, XP002097028
2100830	WILLIAMS D (EDITOR): Concise Encyclopedia of Medical and Dental Materials 1990 , PERGAMON PRESS , OXFORD, GB XP002100830 see pages 289-299: Polysiloxanes
2101848	Williams et al.: 2-Substitited piperazines as constrained amino acids. Application to the synthesis of potent, non carboxylic acid inhibitors of farnesyltransferase. Journal of Medicinal Chemistry., vol. 39, No. 7, -1996, pp. 345-1348, XP002101848.
2182477	WILLIAMS ET AL : structural analysis of polytetramethyl-p-silphenylenesiloxane etc. MACROMOLECULES, Bd. 24, Nr. 7, 1. April 1991 (1991-04-01), Seiten 1445-1448, XP002182477
2184576	WILLIAMS ET AL. A NOVEL FAMILY OF CYCLIC PEPTIDE ANTAGONISTS SUGGESTS THAT N-CADHERIN SPECIFICITY IS DETERMINED BY AMINO ACIDS THAT FLANK THE HAV MOTIF vol. 275, no. 6, 11 February 2000, pages 4007 - 4012, XP002184576
2188146	WILLIAMS A L :  A New and Less Complex Alternative to the Handley Page Slat JOURNAL OF AIRCRAFT, vol. 23, no. 3, March 1986 (1986-03), pages 200-206, XP002188146 NY, USA
2197278	WILLIAMS E C ET AL: CONFORMATIONAL STATES OF FIBRONECTIN EFFECTS OF PH IONIC STRENGTH AND COLLAGEN BINDING JOURNAL OF BIOLOGICAL CHEMISTRY, vol. 257, no. 24, 1982, pages 14973-14978, XP002197278 ISSN: 0021-9258
2204282	WILLIAMS DOUGLAS B ET AL: Characterization of the insulin A-chain major immunogenic determinant presented by MHC class II I-A-d molecules. JOURNAL OF IMMUNOLOGY, vol. 151, no. 7, 1993, pages 3627-3637, XP002204282  ISSN: 0022-1767
2206890	WILLIAMS D E ET AL:  HEMATOPOIETIC EFFECTS OF A GRANULOCYTE-MACROPHAGE COLONY-STIMULATING FACTOR INTERLEUKIN-3 FUSION PROTEIN CANCER (PHILADELPHIA), vol. 67, no. 10 SUPPL., 1991, pages 2705-2707, XP002206890 ISSN: 0008-543X
2216217	WILLIAMS AMY J ET AL: Isolation and characterization of a novel zinc-finger protein with transcriptional repressor activity. JOURNAL OF BIOLOGICAL CHEMISTRY, vol. 270, no. 38, 1995, pages 22143-22152, XP002216217 ISSN: 0021-9258
2219111	WILLIAMS C.E. ET AL.:  Differences between plant and animal Myb domains are fundamental for DNA binding activity, and chimeric Myb domains have novel DNA binding specificities JOURNAL OF BIOLOGICAL CHEMISTRY, vol. 272, no. 1, 1997, pages 563-571, XP002219111
2223170	WILLIAMS A R ET AL:  Filtroporation: A simple, reliable technique for transfection and macromolecular loading of cells in suspension. BIOTECHNOLOGY AND BIOENGINEERING, vol. 65, no. 3, 5 November 1999 (1999-11-05), pages 341-346, XP002223170 ISSN: 0006-3592
2245814	WILLIAMS CYNTHIA L ET AL: Cholecystokinin-induced antinociception is not blocked by CCK-A or CCK-B receptor antagonists. PEPTIDES (TARRYTOWN), vol. 18, no. 3, 1997, pages 409-414, XP002245814 ISSN: 0196-9781
2267101	WILLIAMS B R ET AL:  Polyclonal anti-colorectal cancer Fab phage display library selected in one round using density gradient centrifugation to separate antigenbound and free phage, IMMUNOLOGY LETTERS, ELSEVIER BV, NL, vol. 81, 1 January 2002 (2002-01-01), pages 141-148, XP002267101, ISSN: 0165-2478, DOI: 10.1016/S0165-2478(02)00004-4
2274490	Williams et al., Enhancement of in vitro binding and some pharmacological properties of diazepam by a novel anthelmintic agent, Avermectin Bla, Eur. J. Pharmacol., vol. 56, pp. 273-276, XP002274490.
2286491	WILLIAMS D (EDITOR): Concise Encyclopedia of Medical and Dental Materials 1 janvier 1990 (1990-01-01), PERGAMON PRESS , XP002286491 * page 355 - page 360 *
2303884	WILLIAMS DAVID J ET AL:  A study of the effect of envelope impedance on intermodulation asymmetry using a two-tone time domain measurement system IEEE MTT S INT MICROWAVE SYMP DIG; IEEE MTT-S INTERNATIONAL MICROWAVE SYMPOSIUM DIGEST 2002, vol. 3, 2002, pages 1841-1844, XP002303884
2311516	WILLIAMS D R ET AL:  Off-axis optical quality and retinal sampling in the human eye VISION RESEARCH, PERGAMON PRESS, OXFORD, GB, vol. 36, no. 8, avril 1996 (1996-04), pages 1103-1114, XP002311516 ISSN: 0042-6989
2317110	WILLIAMS EMMA ET AL:  A novel family of cyclic peptide antagonists suggests that N-cadherin specificity is determined by amino acids that flank the HAV motif JOURNAL OF BIOLOGICAL CHEMISTRY, vol. 275, no. 6, 11 February 2000 (2000-02-11), pages 4007-4012, XP002317110 ISSN: 0021-9258
2319075	WILLIAMS D.A. ET AL.: BLOOD, vol. 96, no. 5, 1 September 2000 (2000-09-01), pages 1646-1654, XP002319075
2321524	WILLIAMS ELIZABETH J ET AL:  Distribution of the interleukin-8 receptors, CXCR1 and CXCR2, in inflamed gut tissue JOURNAL OF PATHOLOGY, vol. 192, no. 4, December 2000 (2000-12), pages 533-539, XP002321524 ISSN: 0022-3417
2325567	WILLIAMS E ET AL:  A prototype spherical array for interior noise investigations JOURNAL OF THE ACOUSTIC SOCIETY OF AMERICA. VOL. 112,  NO. 5, PART 2, [Online] novembre 2002 (2002-11), page 2348, XP002325567 Extrait de l'Internet: URL:http://scitation.aip.org/jasa/> [extrait le 2005-04-21]
2333596	WILLIAMS C. AND SEEGER M.:  using the nyström method to speed up kernel machines ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS, vol. 13, 2001, pages 682-688, XP002333596
2343191	WILLIAMS D L ET AL:  PCR-based diagnosis of leprosy in the United States CLINICAL MICROBIOLOGY NEWSLETTER 15 APR 2003 UNITED STATES, vol. 25, no. 8, 15 April 2003 (2003-04-15), pages 57-61, XP002343191 ISSN: 0196-4399
2356385	WILLIAMS CHRISTOPHER G ET AL:  In vitro chondrogenesis of bone marrow-derived mesenchymal stem cells in a photopolymerizing hydrogel. TISSUE ENGINEERING, vol. 9, no. 4, August 2003 (2003-08), pages 679-688, XP002356385 ISSN: 1076-3279
2362542	WILLIAMS DAVID C ET AL:  Heterologous expression and characterization of a pseudomature form of taxadiene synthase involved in paclitaxel (taxol) biosynthesis and evaluation of a potential intermediate and inhibitors of the multistep diterpene cyclization reaction ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS, vol. 379, no. 1, 1 July 2000 (2000-07-01), pages 137-146, XP002362542 ISSN: 0003-9861
2366678	WILLIAMS DAVID D ET AL:  Surface layer protein EA1 is not a component of Bacillus anthracis spores but is a persistent contaminant in spore preparations. JOURNAL OF BACTERIOLOGY, vol. 186, no. 2, January 2004 (2004-01), pages 566-569, XP002366678 ISSN: 0021-9193
2367286	WILLIAMS DAVID T ET AL:  Molecular characterization of the first Australian isolate of Japanese encephalitis virus, the FU strain JOURNAL OF GENERAL VIROLOGY, vol. 81, no. 10, October 2000 (2000-10), pages 2471-2480, XP002367286 ISSN: 0022-1317
2374695	WILLIAMS A:  ACD/Name: Completing the Cycle Between Systematic Names and Chemical Structures ACD USERS MEETING, [Online] mei 2002 (2002-05), XP002374695 Gevonden op het Internet: URL:http://www.acdlabs.com/download/publ/2002/naum2002/naming.pdf> [gevonden op 2006-03-28]
2374758	WILLIAMS D L ET AL:  Contribution of rpoB mutations to development of rifamycin cross-resistance in Mycobacterium tuberculosis. ANTIMICROBIAL AGENTS AND CHEMOTHERAPY. JUL 1998, vol. 42, no. 7, July 1998 (1998-07), pages 1853-1857, XP002374758 ISSN: 0066-4804
2394272	Williams Carol L et al.: Reduced Expression of Wnt-1 and E-cadherin, and diminished beta-catenin stability in MCF-7 breast cancer cells that overexpress protein kinase C-alpha, International Journal of Oncology, vol. 19, No. 6, Dec. 2001, pp. 1227-1233, XP002394272.
2395024	WILLIAMS C L ET AL:  Expression of Ca<2+>/calmodulin-dependent protein kinase types II and IV, and reduced DNA synthesis due to the Ca<2+>/calmodulin-dependent protein kinase inhibitor KN-62 (1-ÄN,O-bis(5-isoquinolinesulfonyl)-N- methyl-L-tyrosylÜ-4-phenylpipera zine) in small cell lung carcinoma BIOCHEMICAL PHARMACOLOGY 1996 UNITED STATES, vol. 51, no. 5, 1996, pages 707-715, XP002395024 ISSN: 0006-2952
2406389	WILLIAMS B P ET AL:  The generation of neurons and oligodendrocytes from a common precursor cell. NEURON. OCT 1991, vol. 7, no. 4, October 1991 (1991-10), pages 685-693, XP002406389 ISSN: 0896-6273
2408065	WILLIAMS B ET AL:  Comparison of broadcasting techniques for mobile ad hoc networks MOBIHOC 2002. PROCEEDINGS OF THE THIRD ACM INTERNATIONAL SYMPOSIUM ON MOBILE AD HOC NETWORKING AND COMPUTING ACM NEW YORK, NY, USA, 2002, pages 194-205, XP002408065 ISBN: 1-58113-501-7
2411208	WILLIAMS D T ET AL:  Plasma heat transfer in verneuil crystal growth JOURNAL OF THE AMERICAN CERAMIC SOCIETY USA, vol. 51, no. 1, 21 January 1968 (1968-01-21), pages 32-37, XP002411208
2417486	WILLIAMS D S ET AL:  Magnetic resonance imaging of perfusion using spin inversion of arterial water PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA 1992 UNITED STATES, vol. 89, no. 1, 1992, pages 212-216, XP002417486 ISSN: 0027-8424 cited in the application
2426599	WILLIAMS ANDREW EVAN ET AL:  Innate imprinting by the modified heat-labile toxin of Escherichia coli (LTK63) provides generic protection against lung infectious disease. JOURNAL OF IMMUNOLOGY (BALTIMORE, MD. : 1950) 15 DEC 2004, vol. 173, no. 12, 15 December 2004 (2004-12-15), pages 7435-7443, XP002426599 ISSN: 0022-1767
2445560	WILLIAMS ALAN J ET AL:  Regulated phosphorylation of 40S ribosomal protein S6 in root tips of maize. PLANT PHYSIOLOGY (ROCKVILLE), vol. 132, no. 4, August 2003 (2003-08), pages 2086-2097, XP002445560 ISSN: 0032-0889
2450487	WILLIAMS A S ET AL:  Amelioration of rat antigen-induced arthritis by liposomally conjugated methotrexate is accompanied by down-regulation of cytokine mRNA expression. RHEUMATOLOGY (OXFORD, ENGLAND) APR 2001, vol. 40, no. 4, April 2001 (2001-04), pages 375-383, XP002450487 ISSN: 1462-0324
2457722	WILLIAMS CASSIN KIMMEL ET AL: Up-regulation of the Notch ligand Delta-like 4 inhibits VEGF-induced endothelial cell function, BLOOD, W.B.SAUNDERS COMPANY, ORLANDO, FL, vol. 107, no. 3, 1 February 2006 (2006-02-01), pages 931-939, XP002457722, ISSN: 0006-4971
2463042	WILLIAMS ADRIAN C ET AL:  Penetration enhancers, ADVANCED DRUG DELIVERY REVIEWS, ELSEVIER BV, AMSTERDAM, NL, vol. 56, no. 5, 27 March 2004 (2004-03-27) , pages 603-618, XP002463042, ISSN: 0169-409X, DOI: 10.1016/J.ADDR.2003.10.025
2486653	WILLIAMS A P ET AL:  EFFECTS OF SLOWLY AND RAPIDLY DEGRADED PROTEIN SOURCES ON THE CONCENTRATIONS OF AMINO ACIDS AND PEPTIDES IN THE RUMEN OF STEERS JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE, vol. 56, no. 3, 1991, pages 303-314, XP002486653 ISSN: 0022-5142
2514869	WILLIAMS DENISE M ET AL:  Anaplastic large cell lymphoma in childhood: analysis of 72 patients treated on The United Kingdom Children's Cancer Study Group chemotherapy regimens. BRITISH JOURNAL OF HAEMATOLOGY JUN 2002, vol. 117, no. 4, June 2002 (2002-06), pages 812-820, XP002514869 ISSN: 0007-1048
2534371	WILLIAMS C K ET AL:  A Highly Active Zinc Catalyst for the Controlled Polymerization of Lactide, JOURNAL OF THE AMERICAN CHEMICAL SOCIETY, AMERICAN CHEMICAL SOCIETY, WASHINGTON, DC; US, vol. 125, no. 37, 1 January 2003 (2003-01-01), pages 11350-11359, XP002534371, ISSN: 0002-7863, DOI: 10.1021/JA0359512 [retrieved on 2003-08-21]
2549577	WILLIAMS A K ET AL:  Sol-gel-encapsulated alcohol dehydrogenase as a versatile, environmentally stabilized sensor for alcohols and aldehydes JOURNAL OF THE AMERICAN CHEMICAL SOCIETY 19980513 US, vol. 120, no. 18, 13 May 1998 (1998-05-13), pages 4366-4371, XP002549577 ISSN: 0002-7863
2560602	WILLIAMS B D ET AL:  Tool for computer-assisted geo-spatial registration and truthing of images of differing dimensionality and resolution PROCEEDINGS OF THE SPIE - THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING SPIE-INT. SOC. OPT. ENG USA, vol. 4054, 2000, pages 75-82, XP002560602 ISSN: 0277-786X
2571218	WILLIAMS CHRYSANTHI ET AL: Perfusion bioreactor for small diameter tissue-engineered arteries. May 2004 (2004-05), TISSUE ENGINEERING 2004 MAY-JUN, VOL. 10, NR. 5-6, PAGE(S) 930 - 941 , XP002571218 ISSN: 1076-3279 * page 359, column 1, paragraph 4 - page 359, column 1, paragraph 4 * * page 360, column 2, paragraph 2 *
2577420	WILLIAMS A ET AL:  Carbodiimide Chemistry: Recent Advances, CHEMICAL REVIEWS, AMERICAN CHEMICAL SOCIETY, US, vol. 81, 1 January 1981 (1981-01-01), pages 589-636, XP002577420, ISSN: 0009-2665
2580077	WILLIAMS ANTHONY P ET AL:  Hanging in the balance. KIR and their role in disease. MOLECULAR INTERVENTIONS AUG 2005 LNKD- PUBMED:16123537, vol. 5, no. 4, August 2005 (2005-08), pages 226-240, XP002580077 ISSN: 1534-0384
2592410	WILLIAMS ET AL.:  Clinical trial: multistrain probiotic preparation significantly reduces symptoms of irritable bowel syndrome in a double-blind placebo-controlled study, ALIMENT PHARMACOL THER, vol. 29, 20 August 2001 (2001-08-20), pages 97-103, XP002592410,
2603488	Williams et al., Web Database Applications with PHP & MySQL, O'Reilly Media Chapter 1. Database Applications and the Web Mar. 2002, Internet Article retrieved on Sep. 21, 2010. XP002603488.
2605070	WILLIAMS ANTHONY ET AL:  DX-88 and HAE: a developmental perspective. TRANSFUSION AND APHERESIS SCIENCE : OFFICIAL JOURNAL OF THE WORLD APHERESIS ASSOCIATION : OFFICIAL JOURNAL OF THE EUROPEAN SOCIETY FOR HAEMAPHERESIS DEC 2003 LNKD- PUBMED:14572818, vol. 29, no. 3, December 2003 (2003-12), pages 255-258, XP002605070 ISSN: 1473-0502
2605931	WILLIAMS A. B. ET AL.:  Synthesis of biphenyl proteomimetics as estrogen receptor-alfa coactivator binding inhibitors, ORGANIC LETTERS, vol. 11, no. 23, 11 October 2009 (2009-10-11), pages 5370-5373, XP002605931,
2648127	WILLIAMS B.D. ET AL.:  Molecular cloning and sequence analysis of the Chlamydomonas gene coding for radial spoke protein 3: flagellar mutation pf-14 is an ochre allele, JOURNAL OF CELL BIOLOGY, vol. 109, no. 1, 1989, pages 235-246, XP002648127, ISSN: 0021-9525
2668915	WILLIAMS A.; BAIRD L. G.:  DX-88 and HAE: a developmental perspective, TRANSFUSION AND APHERESIS SCIENCE, vol. 29, no. 3, December 2003 (2003-12), pages 255-258, XP002668915,
2673830	WILLIAMS E A ET AL:  Clinical trial: a multistrain probiotic preparation significantly reduces symptoms of irritable bowel syndrome in a double-blind placebo-controlled study., ALIMENTARY PHARMACOLOGY & THERAPEUTICS JAN 2009 LNKD- DOI:10.1111/J.1365-2036.2008.03848.X PUBMED:18785988, vol. 29, no. 1, January 2009 (2009-01), pages 97-103, XP002673830, ISSN: 1365-2036
2682053	WILLIAMS B T ET AL.:  Impaired carbohydrate digestion and transport ands mucosal dysbiosis in the intestines of children with autism and gastrointestinal disturbances, PLOS ONE, vol. 6, no. 9, E24585, September 2011 (2011-09), pages 1-21, XP002682053,
2685008	Williams D:  Mobile Broadband and Qualcomm Proprietary Protocols, Internet citation, 15 April 2010 (2010-04-15), XP002685008, Retrieved from the Internet: URL:http://blogs.gnome.org/dcbw/2010/04/15/mobile-broadband-and-qualcomm-proprietary-protocols/ [retrieved on 2012-10-08]
2686812	WILLIAMS DAMIAN J ET AL:  A Simple, Highly Efficient Method for Heterologous Expression in Mammalian Primary Neurons Using Cationic Lipid-mediated mRNA Transfection., FRONTIERS IN NEUROSCIENCE, vol. 4, 181, 4 November 2010 (2010-11-04), pages 1-20, XP002686812, ISSN: 1662-453X, DOI: 10.3389/fnins.2010.00181
2692588	WILLIAMS A P ET AL: LASER TEMPERATURE-JUMP SPECTROSCOPIC AND THERMODYNAMIC STUDY OF SALT EFFECTS ON DUPLEX FORMATION BY DGCATGC, 1989, BIOCHEMISTRY, VOL. 28, NR. 10, PAGE(S) 4283-4291, XP002692588, ISSN: 0006-2960 the whole document
2710662	WILLIAMS ET AL.:  Sequential Dehydrogenation of 3-keto-4-azasteriods. The Reaction of Ene- lactams with 2,3-dichloro-5,6-dicyano-1,4-benzoquinone (DDQ)., JOURNAL OF ORGANIC CHEMISTRY, vol. 60, 1995, pages 5337-5340, XP002710662,
2910428	WILLIAMS et al., A Genetic Mapping System in Caenorhabditis Elegans Based on Polymorphic Sequence-Tagged Sites, GENETICS, July 1992, Vol. 131, pages 609-624, XP002910428
2910913	WILLIAMS et al., Upper Bounds on Cold Fusion in Electrolytic Cells, Nature, Vol. 342, 23 November 1989, pages 375-384, XP002910913.
2912114	WILLIAMS et al., High-Frequency DC/DC Converter for Lithium-Ion Battery Applications Utilizes Ultra-Fast CBiC/D Process Technology, IEEE, 1995, pages 322-332, XP002912114
